Role,General Server Permissions,View Channels,Manage Channels,Manage Roles,Create Expressions,Manage Expressions,View Audit Log,View Server Insights,Manage Webhooks,Manage Server,Membership Permissions,Create Invite,Change Nickname,Manage Nicknames,Kick Members,Ban Members,Timeout Members,Text Channel Permissions,Send Messages,Send Messages in Threads,Create Public Threads,Create Private Threads,Embed Links,Attach Files,Add Reactions,Use External Emoji,Use External Stickers,"Mention @everyone, @here, and All Roles",Manage Messages,Manage Threads,Read Message History,Send Text-to-Speech Messages,Use Application Commands,Send Voice Messages,Voice Channel Permissions,Connect,Speak,Video,Use Activities,Use Soundboard,Use External Sounds,Use Voice Activity,Priority Speaker,Mute Members,Deafen Members,Move Members,Set Voice Channel Status,Stage Channel Permissions,Request to Speak,Events Permissions,Create Events,Manage Events,Advanced Permissions,Administrator
Owner,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
MEE6,,Enabled,Enabled,Enabled,Disabled,Enabled,Enabled,Disabled,Enabled,Enabled,,Enabled,Disabled,Disabled,Enabled,Enabled,Disabled,,Enabled,Enabled,Disabled,Enabled,Enabled,Enabled,Enabled,Enabled,Disabled,Enabled,Enabled,Enabled,Enabled,Disabled,Enabled,Disabled,,Enabled,Enabled,Disabled,Disabled,Disabled,Disabled,Enabled,Disabled,Enabled,Enabled,Enabled,Disabled,,Disabled,,Disabled,Disabled,,Enabled
Arcane Premium,,Enabled,Enabled,Enabled,Disabled,Enabled,Enabled,Disabled,Enabled,Enabled,,Enabled,Enabled,Enabled,Enabled,Enabled,Disabled,,Enabled,Disabled,Disabled,Disabled,Enabled,Enabled,Enabled,Enabled,Disabled,Enabled,Enabled,Disabled,Enabled,Enabled,Disabled,Disabled,,Enabled,Speak,Disabled,Disabled,Disabled,Disabled,Enabled,Enabled,Enabled,Enabled,Enabled,Disabled,,Disabled,,Disabled,Disabled,,Enabled
Bot,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
Administrator,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Enabled
Moderator,,Enabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Enabled,Enabled,Enabled,Enabled,Enabled,,Enabled,Enabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Enabled,Enabled,Enabled,Enabled,Disabled,Disabled,Disabled,,Enabled,Enabled,Disabled,Disabled,Disabled,Disabled,Enabled,Enabled,Enabled,Enabled,Enabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
Server Booster,,Enabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Enabled,Enabled,Disabled,Disabled,Disabled,Disabled,,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Disabled,Disabled,Disabled,Enabled,Disabled,Enabled,Enabled,,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Disabled,Disabled,Disabled,Disabled,Enabled,,Enabled,,Disabled,Disabled,,Disabled
Member,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
Guild Wars 2,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
Last Epoch,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
Once Human,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
Palworld,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
Satisfactory,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
MacOS,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
Ubuntu,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
Windows,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
@everyone,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
